fid,area,perimeter,depth,%ponded,ponded,pond_area,min_elev
1,21,40,0.149902344,0.904761905,yes,19,4658.616211
2,10,22,0.244628906,0,no,0,4579.837402
3,56,56,0.692871094,0,no,0,4663.678711
4,193,114,0.963378906,0,no,0,4662.196777
5,672,216,4.694335938,0.029761905,yes,20,4660.90918
6,260,156,2.245605469,0,no,0,4658.202637
7,308,140,1.58203125,0,no,0,4663.23291
8,53,50,0.489746094,0,no,0,4660.303711
9,241,100,2.287597656,0,no,0,4662.0625
10,4288,636,4.116210938,0.009561567,yes,41,4655.473633
11,1027,228,3.06640625,0.088607595,yes,91,4657.339355
12,14,24,0.298339844,0,no,0,4642.139648
13,4677,728,6.505371094,0.063716057,yes,298,4652.992676
14,901,234,1.831542969,0,no,0,4661.450684
15,270,170,1.547363281,0,no,0,4663.205078
16,340,222,1.248046875,0,no,0,4671.004395
17,88,60,2.172363281,0,no,0,4669.242188
18,661,294,1.478515625,0.04387292,yes,29,4660.687012
19,30,46,0.460449219,0,no,0,4661.408691
20,122,78,1.674316406,0,no,0,4672.210449
21,18,24,0.315429688,0,no,0,4666.00293
22,100,78,1.440917969,0,no,0,4660.847656
23,169,98,0.861328125,0,no,0,4664.64209
24,419,174,3.832519531,0,no,0,4679.867188
25,104,82,1.435058594,0,no,0,4661.547852
26,206,156,1.219238281,0,no,0,4676.574707
27,847,224,2.86328125,0.063754427,yes,54,4660.115234
28,2303,430,6.526855469,0,no,0,4668.670898
29,55,48,1.057128906,0,no,0,4691.820801
30,1416,408,3.096679688,0,no,0,4678.438965
31,738,186,2.168945313,0,no,0,4673.898926
32,42,50,0.641601563,0,no,0,4665.995117
33,232,132,1.959472656,0,no,0,4666.994629
34,1962,450,4.029296875,0.028542304,yes,56,4676.328125
35,113,72,2.01171875,0,no,0,4678.226074
36,46,54,0.958496094,0,no,0,4670.572266
37,1042,316,1.576171875,0.010556622,yes,11,4664.04248
38,396,132,2.217773438,0,no,0,4667.141113
39,18,32,0.670410156,0,no,0,4664.147949
40,220,104,4.101074219,0,no,0,4674.42041
41,23,42,0.340332031,0,no,0,4662.390137
42,104,78,1.291992188,0,no,0,4670.582031
43,286,150,2.329589844,0,no,0,4669.566895
44,76,74,0.482910156,0,no,0,4668.30127
45,211,118,1.264160156,0,no,0,4668.235352
46,843,214,3.650390625,0,no,0,4670.989258
47,1121,414,2.783203125,0,no,0,4666.375977
48,23479,3135,3.020507813,0.456876358,yes,10714,4656.175781
49,754,198,4.185058594,0,no,0,4665.148438
50,158,120,1.485351563,0,no,0,4663.552246
51,55,58,1.401367188,0,no,0,4674.317871
52,20,32,0.313964844,0,no,0,4677.915039
53,17,34,0.503417969,0,no,0,4673.827637
54,923,292,1.1640625,0.345612134,yes,319,4661.163086
55,145,106,1.59375,0,no,0,4664.739258
56,4027,564,0.922851563,0.612118202,yes,2460,4661.453125
57,24,38,0.867675781,0,no,0,4674.039063
58,85,50,1.326171875,0,no,0,4673.23877
59,315,134,5.309570313,0,no,0,4665.713867
60,81,66,1.03515625,0,no,0,4679.76123
61,18812,1727,7.443359375,0.097916224,yes,1841,4660.943359
62,111,86,1.588867188,0,no,0,4667.61084
63,20,30,0.203125,0,no,0,4676.337891
64,5773,568,6.210449219,0,no,0,4669.699219
66,127,70,1.462890625,0,no,0,4671.187012
67,109,82,0.873046875,0,no,0,4676.255371
68,41291,4524,5.246582031,0.261316025,yes,10774,4653.487793
69,202,86,2.916992188,0,no,0,4659.538086
70,17,28,0.458007813,0,no,0,4671.066895
71,3494,644,1.649414063,0.422152261,yes,1473,4658.026855
72,17,28,0.418945313,0,no,0,4670.729004
73,9345,1144,7.908203125,0.182878545,yes,1705,4660.468262
74,11202,1190,8.044921875,0.064452776,yes,720,4656.967285
75,67,62,1.352050781,0,no,0,4680.900391
76,14,24,0.33984375,0,no,0,4684.312012
77,48,48,0.948730469,0,no,0,4668.386719
78,197,80,2.905273438,0,no,0,4670.353027
79,57,60,0.823242188,0,no,0,4679.577637
80,184,100,0.190917969,0.717391304,yes,132,4662.439453
81,64,62,1.795898438,0,no,0,4663.924316
82,90,60,1.435058594,0,no,0,4712.80127
83,55,78,0.634277344,0,no,0,4696.459473
84,23,34,0.65234375,0,no,0,4708.867676
85,29,44,0.710449219,0,no,0,4712.047363
86,108,106,1.169921875,0,no,0,4685.787109
87,26,40,0.334960938,0,no,0,4689.505371
88,66,70,0.608886719,0,no,0,4688.770508
89,403,130,2.472167969,0,no,0,4691.200195
90,2370,622,7.623535156,0,no,0,4679.787109
91,4949,1046,5.445800781,0,no,0,4677.447754
92,141,102,1.167480469,0,no,0,4692.329102
93,298,132,3.309082031,0,no,0,4675.06543
94,48,48,1.020507813,0,no,0,4724.390625
95,79,56,0.630859375,0,no,0,4686.989746
96,1161,206,4.919921875,0,no,0,4685.402832
97,2296,300,7.524414063,0,no,0,4679.95166
98,2632,736,6.301757813,0,no,0,4683.461914
99,16,28,0.223144531,0,no,0,4706.829102
100,130,84,1.979980469,0,no,0,4700.960938
101,41,50,0.771484375,0,no,0,4708.891602
102,34,46,0.667480469,0,no,0,4707.739746
104,219,108,2.3671875,0,no,0,4690.217773
105,40522,2149,18.25195313,0.032969745,yes,1336,4677.390137
106,34,46,0.734375,0,no,0,4695.31543
107,9419,640,12.359375,0.126552713,yes,1192,4685.30957
108,118,76,0.951171875,0,no,0,4689.269531
109,75,52,0.455078125,0,no,0,4754.210449
110,1250,372,5.365722656,0,no,0,4682.454102
111,6404,712,9.431152344,0.006246096,yes,40,4685.840332
112,360,190,2.739746094,0,no,0,4686.614746
113,341,138,2.270507813,0,no,0,4695.96875
114,215,116,2.084960938,0,no,0,4708.283691
115,23,32,0.525878906,0,no,0,4715.580566
116,51,62,0.834960938,0,no,0,4695.336426
117,87,76,1.685546875,0,no,0,4709.537598
118,6880,954,5.270019531,0,no,0,4687.050293
119,14,28,0.332519531,0,no,0,4702.227539
120,2449,488,5.803222656,0,no,0,4687.424316
121,283,176,2.538574219,0,no,0,4691.193848
122,98,94,1.013671875,0,no,0,4700.87207
123,192,90,2.333984375,0,no,0,4696.42627
124,1021,198,3.764648438,0.010773751,yes,11,4696.392578
125,2017,554,10.43798828,0,no,0,4676.629883
126,25,30,0.562011719,0,no,0,4704.150391
127,10,22,0.426269531,0,no,0,4782.532715
128,265,130,2.670410156,0,no,0,4717.261719
129,72,56,1.557617188,0,no,0,4717.905762
130,419,170,2.505371094,0,no,0,4707.54248
131,33,34,1.345214844,0,no,0,4742.39209
132,4384,592,4.706054688,0.002281022,yes,10,4719.921387
133,500,182,4.533203125,0,no,0,4708.430176
134,106,64,1.091308594,0,no,0,4721.273438
135,53,54,0.732910156,0,no,0,4735.631836
136,2348,486,5.031738281,0.004258944,yes,10,4707.868652
137,16,26,0.520507813,0,no,0,4768.109863
138,14,26,0.237792969,0,no,0,4741.092773
139,29,46,1.026855469,0,no,0,4712.258789
