fid,area,perimeter,depth
1,21,40,0.149902344
2,10,22,0.244628906
3,56,56,0.692871094
4,193,114,0.963378906
5,672,216,4.694335938
6,260,156,2.245605469
7,308,140,1.58203125
8,53,50,0.489746094
9,241,100,2.287597656
10,4288,636,4.116210938
11,1027,228,3.06640625
12,14,24,0.298339844
13,4677,728,6.505371094
14,901,234,1.831542969
15,270,170,1.547363281
16,340,222,1.248046875
17,88,60,2.172363281
18,661,294,1.478515625
19,30,46,0.460449219
20,122,78,1.674316406
21,18,24,0.315429688
22,100,78,1.440917969
23,169,98,0.861328125
24,419,174,3.832519531
25,104,82,1.435058594
26,206,156,1.219238281
27,847,224,2.86328125
28,2303,430,6.526855469
29,55,48,1.057128906
30,1416,408,3.096679688
31,738,186,2.168945313
32,42,50,0.641601563
33,232,132,1.959472656
34,1962,450,4.029296875
35,113,72,2.01171875
36,46,54,0.958496094
37,1042,316,1.576171875
38,396,132,2.217773438
39,18,32,0.670410156
40,220,104,4.101074219
41,23,42,0.340332031
42,104,78,1.291992188
43,286,150,2.329589844
44,76,74,0.482910156
45,211,118,1.264160156
46,843,214,3.650390625
47,1121,414,2.783203125
48,23479,3135,3.020507813
49,754,198,4.185058594
50,158,120,1.485351563
51,55,58,1.401367188
52,20,32,0.313964844
53,17,34,0.503417969
54,923,292,1.1640625
55,145,106,1.59375
56,4027,564,0.922851563
57,24,38,0.867675781
58,85,50,1.326171875
59,315,134,5.309570313
60,81,66,1.03515625
61,18812,1727,7.443359375
62,111,86,1.588867188
63,20,30,0.203125
64,5773,568,6.210449219
65,9,20,0.092285156
66,127,70,1.462890625
67,109,82,0.873046875
68,41291,4524,5.246582031
69,202,86,2.916992188
70,17,28,0.458007813
71,3494,644,1.649414063
72,17,28,0.418945313
73,9345,1144,7.908203125
74,11202,1190,8.044921875
75,67,62,1.352050781
76,14,24,0.33984375
77,48,48,0.948730469
78,197,80,2.905273438
79,57,60,0.823242188
80,184,100,0.190917969
81,64,62,1.795898438
82,90,60,1.435058594
83,55,78,0.634277344
84,23,34,0.65234375
85,29,44,0.710449219
86,108,106,1.169921875
87,26,40,0.334960938
88,66,70,0.608886719
89,403,130,2.472167969
90,2370,622,7.623535156
91,4949,1046,5.445800781
92,141,102,1.167480469
93,298,132,3.309082031
94,48,48,1.020507813
95,79,56,0.630859375
96,1161,206,4.919921875
97,2296,300,7.524414063
98,2632,736,6.301757813
99,16,28,0.223144531
100,130,84,1.979980469
101,41,50,0.771484375
102,34,46,0.667480469
103,9,18,0.5546875
104,219,108,2.3671875
105,40522,2149,18.25195313
106,34,46,0.734375
107,9419,640,12.359375
108,118,76,0.951171875
109,75,52,0.455078125
110,1250,372,5.365722656
111,6404,712,9.431152344
112,360,190,2.739746094
113,341,138,2.270507813
114,215,116,2.084960938
115,23,32,0.525878906
116,51,62,0.834960938
117,87,76,1.685546875
118,6880,954,5.270019531
119,14,28,0.332519531
120,2449,488,5.803222656
121,283,176,2.538574219
122,98,94,1.013671875
123,192,90,2.333984375
124,1021,198,3.764648438
125,2017,554,10.43798828
126,25,30,0.562011719
127,10,22,0.426269531
128,265,130,2.670410156
129,72,56,1.557617188
130,419,170,2.505371094
131,33,34,1.345214844
132,4384,592,4.706054688
133,500,182,4.533203125
134,106,64,1.091308594
135,53,54,0.732910156
136,2348,486,5.031738281
137,16,26,0.520507813
138,14,26,0.237792969
139,29,46,1.026855469
140,15,22,0.450195313
141,737,218,3.173339844
142,107,100,1.434082031
143,32,42,0.4375
144,33,38,1.881347656
145,25,32,0.5859375
146,606,186,3.062011719
147,198,116,1.658203125
148,558,154,3.180175781
149,5110,678,8.733886719
150,45679,2461,14.52587891
151,1534,356,4.790039063
152,108,70,1.214355469
153,50,54,1.086914063
154,11,24,0.170410156
155,535,178,4.146972656
156,736,186,3.854003906
157,296,114,3.157714844
158,929,240,4.514648438
159,1310,306,8.742675781
160,32894,2867,12.62695313
161,251241,8801,18.96972656
162,1526,246,6.962402344
163,18,30,0.422851563
164,15096,1473,10.97119141
165,285,146,3.144042969
166,949,240,5.657226563
167,46,64,0.962890625
168,18870,1272,12.48144531
169,1350,238,3.368652344
170,2478,520,6.084960938
171,4675,942,6.659667969
172,87,84,1.513671875
173,181,102,2.438476563
174,158,94,1.3046875
175,972,196,4.584960938
176,50,48,1.229492188
177,11,22,0.393066406
178,25,40,0.21484375
179,57,56,0.950683594
180,14,24,0.114257813
181,2285,276,6.509277344
182,23,32,0.523925781
183,213,128,1.837890625
184,582,164,3.943847656
185,22,34,0.514160156
186,108,74,2.186523438
187,138,64,1.937011719
188,280,132,2.41796875
189,314,138,2.909179688
190,16,26,0.456542969
191,15,26,0.358398438
192,49,56,1.217773438
193,375,180,2.05859375
194,47,60,0.435058594
195,95,86,2.466308594
196,210,120,1.419921875
197,31,40,0.524902344
198,26,40,0.490722656
199,211,130,1.859375
200,28,40,0.778320313
201,2775,492,5.188964844
202,386,128,2.193359375
203,730,332,2.206542969
204,44,50,0.516113281
205,41,54,0.886230469
206,28,36,0.475585938
207,309,194,1.30078125
208,5290,866,5.864746094
209,62,60,1.352539063
210,104,66,2.030273438
211,125,74,1.713378906
212,89,74,1.250976563
213,131,72,1.938476563
214,166,90,2.48046875
215,51295,2281,13.71435547
216,3429,510,5.949707031
217,522,294,1.499023438
218,235,140,1.235839844
219,85,68,0.630859375
220,13,24,0.240722656
221,38633,2093,17.32128906
222,80,68,1.248046875
223,472,172,2.042480469
224,138,58,3.229980469
225,189,92,1.553222656
226,56,40,0.733886719
227,40,50,0.983886719
228,108,96,1.283691406
229,444,166,2.913085938
230,222,192,1.396484375
231,1250,316,4.998046875
232,1116,196,4.436523438
233,883,224,4.115234375
234,242,144,1.103515625
235,100,60,1.104492188
236,14,26,0.505859375
237,65,62,0.659179688
238,52,74,0.216796875
239,63,80,1.045898438
240,28,46,0.056152344
241,99,104,0.069335938
242,78,102,0.069335938
243,24,40,0.881835938
244,61,56,1.782714844
245,64,70,0.314453125
246,2338,564,3.598632813
247,33,46,0.857910156
248,931,312,3.192382813
249,71702,4480,17.62939453
250,59,68,1.990234375
251,2344,296,3.486816406
252,208,156,1.552734375
253,887,232,2.770019531
254,5851,850,8.202636719
255,1800,328,5.469238281
256,10300,672,23.31103516
257,97596,3793,38.95751953
258,4252,454,15.35351563
259,105,82,1.965820313
260,40,48,0.666015625
261,21,34,0.583496094
262,481,208,2.65625
263,57,48,1.220214844
264,1571,516,3.719726563
265,5604,466,7.638183594
266,8819,1991,5.385253906
267,14,24,0.640625
268,44,60,1.012207031
269,207,166,1.306640625
270,4756,740,5.267089844
271,31635,2045,20.76318359
272,217,88,2.719238281
273,190,98,2.3515625
274,3012,512,6.244140625
275,699,180,5.369140625
276,100603,3457,29.63134766
277,1186,238,5.399902344
278,17239,2451,10.35205078
279,151,92,1.072753906
280,97,72,1.825195313
281,708,178,4.049316406
282,347,126,2.407714844
283,50,50,0.936523438
284,29,40,0.584472656
285,6237,708,6.109375
286,14,26,0.373046875
287,172,78,3.650878906
288,10928,1146,10.69726563
289,98,90,1.458007813
290,306,170,2.551269531
291,5681,606,10.57910156
292,44654,2019,14.58789063
293,706,216,3.191894531
294,42912,3311,18.70410156
295,63766,2787,16.56445313
296,31,44,0.2890625
297,81,80,1.337402344
298,24,36,0.430175781
299,31,48,0.875488281
300,987,236,4.132324219
301,238056,18793,4.113769531
302,15,28,0.62890625
303,48,54,0.6796875
304,37,44,1.416015625
305,74,66,0.681640625
306,457,184,2.245605469
307,186,112,1.6640625
308,11,22,0.024414063
309,18267,1625,11.92382813
310,1,4,0.129394531
311,1,4,0.022949219
312,3,8,0.15234375
313,1,4,0.004882813
314,1,4,0.010742188
315,1,4,0.006347656
316,1,4,0.000976563
317,1,4,0.04296875
318,1,4,0.033691406
319,3,8,0.345214844
320,1,4,0.061523438
321,1,4,0.007324219
322,1,4,0.0390625
323,1,4,0.047363281
324,1,4,0.013183594
325,1,4,0.015625
326,1,4,0.05078125
327,1,4,0.010742188
328,3,8,0.158203125
329,3,8,0.083496094
330,1,4,0.147949219
331,3,8,0.094238281
332,4,10,0.146972656
333,1,4,0.025390625
334,1,4,0.040039063
335,1,4,0.000976563
336,1,4,0.068847656
337,3,8,0.18359375
338,1,4,0.000976563
339,1,4,0.057617188
340,1,4,0.063476563
341,2,6,0.130859375
342,2,6,0.104492188
343,1,4,0.092285156
344,2,6,0.016113281
345,1,4,0.01953125
346,1,4,0.011230469
347,2,6,0.138183594
348,2,6,0.034667969
349,2,6,0.150390625
350,1,4,0.036621094
351,2,6,0.006835938
352,1,4,0.01171875
353,1,4,0.003417969
354,1,4,0.005859375
355,1,4,0.052734375
356,1,4,0.045898438
357,2,6,0.213378906
358,2,6,0.05859375
359,1,4,0.149414063
360,1,4,0.016113281
361,2,6,0.052734375
362,1,4,0.004882813
363,10,14,0.127929688
364,5,12,0.552246094
365,2,6,0.04296875
366,1,4,0.071777344
367,1,4,0.041992188
368,1,4,0.071289063
369,1,4,0.046386719
370,1,4,0.048339844
371,2,6,0.150878906
372,1,4,0.18359375
373,1,4,0.046875
374,6,14,0.127441406
375,33,30,1.10546875
376,259,98,0.897460938
377,1,4,0.020019531
378,1,4,0.049804688
379,1,4,0.072753906
380,2,6,0.086914063
381,2,6,0.119628906
382,3,8,0.073730469
383,1,4,0.08203125
384,2,6,0.021484375
385,1,4,0.006347656
386,1,4,0.0234375
387,1,4,0.041503906
388,1,4,0.008789063
389,1,4,0.050292969
390,1,4,0.050292969
391,1,4,0.093261719
392,1,4,0.18359375
393,1,4,0.017089844
394,2,6,0.07421875
395,1,4,0.003417969
396,1,4,0.112304688
397,1,4,0.118164063
398,1,4,0.002441406
399,1,4,0.033691406
400,1,4,0.005859375
401,5,10,0.387695313
402,1,4,0.009277344
403,1,4,0.019042969
404,1,4,0.031738281
405,3,8,0.068847656
406,2,6,0.055175781
407,4,10,0.126953125
408,2,6,0.024414063
409,1,4,0.073242188
410,1,4,0.018554688
411,1,4,0.053222656
412,1,4,0.014648438
413,1,4,0.021972656
414,4,10,0.107910156
415,1,4,0.032226563
416,1,4,0.029296875
417,1,4,0.044921875
418,1,4,0.081054688
419,1,4,0.008789063
420,2,6,0.041503906
421,1,4,0.002441406
422,1,4,0.020019531
423,2,6,0.061523438
424,1,4,0.229980469
425,2,6,0.249023438
426,1,4,0.017089844
427,1,4,0.010253906
428,1,4,0.032226563
429,1,4,0.065429688
430,1,4,0.017578125
431,1,4,0.058105469
432,3,8,0.063476563
